0,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0005,0.770885301,176.1749938
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0005,0.754733405,106.4974193
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0005,0.754841684,106.5644553
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0005,0.760028108,105.7711892
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0005,0.764142699,207.9143598
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0,0.782866544,169.8713856
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0,0.768893447,113.4606501
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0,0.773715379,118.959655
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0,0.760258199,160.1190196
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0,0.763247798,132.3765904
,,,,,,,,,,,0.769796273,0.008956336
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0,0.178324521174326,236.20987832546234
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0,0.781592658420273,169.7770235300064
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0,0.7729132917626856,115.30328701734543
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0,0.7722568370606175,118.60021188259125
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0,0.7615021140765952,160.30144016742707
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,5,256,0.5,1,0.01,0.0,0.7648291240298637,135.13330855369568
