seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.828633718,126.9630037,111,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.816964458,141.3053774,111,
,,,,,,,,,,,0.833822075,111 平均值,111,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0,0.821810785,121.2767703,54,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0,0.836928271,92.43654216,54,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0,0.832334918,102.2736402,54,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0,0.838678226,118.4232315,54,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0,0.837336305,93.60444443,54,
,,,,,,,,,,,0.833417701,54 平均值,54,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.825165589,126.4331004,104,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.825495612,146.7231592,104,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.833841851,104.9194675,104,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.839008249,102.5701441,104,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.842884412,105.1620369,104,
,,,,,,,,,,,0.833279143,104 平均值,104,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.82927386,100.3732493,15,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.831823511,92.64255865,15,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.836288129,142.973101,15,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.835281688,90.96391755,15,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.833201709,96.04500922,15,
,,,,,,,,,,,0.833173779,15 平均值,15,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.825268962,121.5803866,150,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.833841851,91.66041901,150,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.830254939,101.4406953,150,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.843307856,113.4240806,150,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.831240513,132.4238895,150,
,,,,,,,,,,,0.832782824,150 平均值,150,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.823622379,120.1240702,153,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.824628821,132.1282966,153,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.835705132,101.3355887,153,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.831926884,93.00516015,153,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.844479309,95.75585335,153,
,,,,,,,,,,,0.832072505,153 平均值,153,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.818620993,133.2439368,106,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.836928271,149.627124,106,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.836453141,95.9608838,106,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.818941063,147.2057521,106,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0,1,0.01,0.0005,0.847349031,101.5490168,106,
,,,,,,,,,,,0.8316585,106 平均值,106,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.846714347,94.88348271,144,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.824618869,98.76245393,144,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.818125958,96.08589579,144,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.831380163,106.6762117,144,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0,0.836989909,99.43797733,144,
,,,,,,,,,,,0.831565849,144 平均值,144,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.828252009,121.8940129,155,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.844696007,109.6263029,155,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.837248342,104.7165721,155,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.825000578,135.7053407,155,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,256,0.5,1,0.01,0.0005,0.821480762,105.4457097,155,
,,,,,,,,,,,0.831335539,155 平均值,155,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.83136379,108.8447084,14,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.834104778,99.39172288,14,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.841021132,109.9239925,14,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.823890764,123.3821839,14,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0,1,0.01,0.0005,0.824845518,153.0856709,14,
,,,,,,,,,,,0.831045196,14 平均值,14,
0,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.830383674,101.8729336,60,
1,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.832515339,97.04163803,60,
2,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.825521937,100.669606,60,
3,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.843204483,101.812258,60,
4,fedgsl,gnn_fedgsl_gcn,1,cora,3,64,0.5,1,0.01,0.0005,0.823353995,100.5004863,60,
,,,,,,,,,,,0.830995886,60 平均值,60,
