seed,method,model,batch_size,datasets,client_num,hidden,dropout,local_updates,lr,weight_decay,test_acc,val_loss,group
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.767451509,208.0375123,10
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.767927226,208.8792018,10
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.763310431,290.0068702,10
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.782723968,293.3283149,10
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.738833841,206.6954478,10
,,,,,,,,,,,0.764049395,10 平均值,10
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.753951784,220.3311664,11
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.758387142,307.0098835,11
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.760505459,304.3489508,11
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.773689103,207.3614836,11
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.777425638,300.2542725,11
,,,,,,,,,,,0.764791825,11 平均值,11
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.766546866,271.4180086,12
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.782878484,295.7354217,12
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.777048015,224.1704564,12
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.748638703,190.7024805,12
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.789655267,219.5511504,12
,,,,,,,,,,,0.772953467,12 平均值,12
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.768721606,166.8780549,13
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.75997844,199.5810804,13
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.758806436,204.6412471,13
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.767802212,175.2584456,13
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.738208727,173.4679737,13
,,,,,,,,,,,0.758703484,13 平均值,13
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.774257794,202.4503677,14
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.783339449,292.5207215,14
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.767534852,215.1209598,14
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.774650168,200.3750227,14
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.783297778,209.1205163,14
,,,,,,,,,,,0.776616008,14 平均值,14
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.739490993,191.3942042,15
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.747103827,246.9398014,15
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.74886181,195.9296532,15
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.78135836,290.461755,15
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.01,0.0005,0.74128811,216.6392447,15
,,,,,,,,,,,0.75162062,15 平均值,15
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.703606029,960.2570713,16
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.684275835,2055.453402,16
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.691138542,2252.811293,16
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.678668473,4094.36174,16
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.673215627,1600.055325,16
,,,,,,,,,,,0.686180901,16 平均值,16
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.688404744,2083.501151,17
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.707511831,2234.680257,17
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.718027731,1329.370519,17
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.729367468,721.9088725,17
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.729016765,1109.123277,17
,,,,,,,,,,,0.714465708,17 平均值,17
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.707859997,5561.190529,18
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.706690531,956.3964796,18
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.652867946,5420.9467,18
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.590525302,1255.324101,18
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.672632185,4896.650814,18
,,,,,,,,,,,0.666115192,18 平均值,18
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.680666896,2219.86328,19
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.724316628,6888.35372,19
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.658416348,31164.79665,19
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.685906267,2864.574329,19
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.682125479,12668.76497,19
,,,,,,,,,,,0.686286323,19 平均值,19
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.678305601,2223.312278,20
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.710302052,1572.715228,20
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.716855727,1522.316118,20
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.688318819,981.0744513,20
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.694958419,1800.922318,20
,,,,,,,,,,,0.697748124,20 平均值,20
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.701696113,1587.428434,21
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.70862483,2146.197866,21
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.690635906,1198.786689,21
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.683204507,2350.085833,21
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.692420808,2738.679272,21
,,,,,,,,,,,0.695316433,21 平均值,21
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.564187516,2948.557762,22
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.685474758,5173.407845,22
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.703061721,5559.917597,22
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.704150382,4721.894217,22
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.714945811,5329.957564,22
,,,,,,,,,,,0.674364038,22 平均值,22
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.576395344,52826.30514,23
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.674402382,7184.094398,23
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.723367732,2681.594065,23
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.667287065,14997.69092,23
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0,0.684204662,2547.881402,23
,,,,,,,,,,,0.665131437,23 平均值,23
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.709029418,5476.997962,24
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.673350273,11959.43076,24
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.671484565,17399.24648,24
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.730720907,691.781172,24
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.683660354,5682.226782,24
,,,,,,,,,,,0.693649103,24 平均值,24
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.687355217,6880.68864,25
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.757090125,1524.20679,25
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.74886181,1961.897906,25
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.740925193,1554.04426,25
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.702460991,5831.066814,25
,,,,,,,,,,,0.727338667,25 平均值,25
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.675655145,22898.8695,26
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.717480841,4889.0782,26
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.679950739,60426.37938,26
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.704231143,20543.8132,26
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.673715727,55393.07154,26
,,,,,,,,,,,0.690206719,26 平均值,26
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.689071528,22431.31724,27
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.727065177,15204.85547,27
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.728734698,7432.594873,27
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.724162112,13303.71063,27
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.696704233,5651.543503,27
,,,,,,,,,,,0.71314755,27 平均值,27
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.689226044,3868.12137,28
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.725920094,2819.504555,28
2,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.719393339,3402.950267,28
3,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.711245829,2085.004242,28
4,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.691680313,8324.867703,28
,,,,,,,,,,,0.707493124,28 平均值,28
0,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.704260645,9491.771835,29
1,fedgsl,gnn_fedgsl_gcn,1,citeseer,3,64,0,1,0.1,0.0005,0.708315843,1308.329723,29
